frame_index,total_objects,median_motion
1,38,0.0
2,33,0.15857739746570587
3,33,0.1477050930261612
4,35,0.01017032377421856
5,36,-0.009081931784749031
6,33,-0.00867023691534996
7,43,0.0024774260818958282
8,43,0.2578250765800476
9,39,0.3943922221660614
10,35,0.3364427983760834
11,41,0.24097448587417603
12,35,0.38005784153938293
13,34,0.4144480526447296
14,41,0.39801347255706787
15,34,0.40016961097717285
16,37,0.3691895008087158
17,35,0.3419538736343384
18,37,0.3708161413669586
19,41,0.4113919734954834
20,32,0.373151957988739
21,37,0.33434945344924927
22,41,0.32848799228668213
23,38,0.3530063033103943
24,38,0.31688979268074036
25,40,0.301993727684021
26,37,0.34356772899627686
27,35,0.31963032484054565
28,33,0.3166331946849823
29,46,0.3324328362941742
30,46,0.33829739689826965
31,45,0.32962876558303833
32,41,0.34018170833587646
33,53,0.3301284909248352
34,50,0.3787308931350708
35,52,0.33569207787513733
36,49,0.2978922128677368
37,50,0.3081560432910919
38,48,0.3105790317058563
39,55,0.3348639905452728
40,46,0.28573328256607056
41,52,0.16244332492351532
42,43,-0.005090142600238323
43,55,-0.027718137949705124
44,42,-0.03666909784078598
45,53,-0.042820755392313004
46,43,-0.03528311103582382
47,42,-0.041307978332042694
48,41,-0.05616018548607826
49,45,-0.06292387843132019
50,41,-0.05571611225605011
51,37,-0.06508273631334305
52,42,-0.054492752999067307
53,45,-0.07517784833908081
54,45,-0.06536620855331421
55,45,-0.06786369532346725
56,42,-0.05736280605196953
57,43,-0.003714269958436489
58,48,-0.015454300679266453
59,49,-0.0005391555605456233
60,41,0.009626442566514015
61,35,0.008890681900084019
62,51,0.0053551229648292065
63,43,0.00023548127501271665
64,49,-0.0003004405298270285
65,48,-6.472138193203136e-05
66,54,-0.00010344776092097163
67,45,-0.0001520791556686163
68,45,-0.0004274306702427566
69,47,-0.00026745873037725687
70,42,-0.0002645630156621337
71,48,-2.58926638707635e-06
72,44,0.0007627399172633886
73,40,0.005116536282002926
74,44,-0.0016480626072734594
75,48,-0.09056836366653442
76,42,-0.12239877879619598
77,45,-0.12439855933189392
78,50,-0.18260003626346588
79,46,-0.1890515387058258
80,58,-0.214735746383667
81,45,-0.2111634761095047
82,49,-0.16707393527030945
83,42,-0.14749284088611603
84,46,-0.16149838268756866
85,46,-0.1693224459886551
86,52,-0.1566762626171112
87,46,-0.1595945507287979
88,44,-0.15706488490104675
89,46,-0.1531480848789215
90,49,-0.16179239749908447
91,47,-0.18182840943336487
92,45,-0.1711646020412445
93,46,-0.18307949602603912
94,55,-0.1549144685268402
95,51,-0.10664574801921844
96,50,-0.00022555323084816337
97,39,-0.04551921784877777
98,55,-0.029729489237070084
99,60,-0.01646377332508564
100,57,-0.009591208770871162
101,55,-0.00029460067162290215
102,65,0.005290598142892122
103,52,0.017860397696495056
104,50,0.010847950354218483
105,47,0.007777352351695299
106,52,0.0017694892594590783
107,60,0.006151658482849598
108,55,0.0015371371991932392
109,58,-0.0008319072076119483
110,47,-0.00019465555669739842
111,60,0.0026624586898833513
112,55,0.003998388536274433
113,54,0.0641767680644989
114,61,0.1478893905878067
115,67,0.22810938954353333
116,65,0.2247631549835205
117,75,0.2100715935230255
118,49,0.2187797576189041
