frame_index,total_objects,median_motion,rating,percentage_blue,percentage_green,percentage_brown
36,49,0.2978922128677368,1,0.9629629629629628,0.0,0.0389130015432098
53,45,-0.0751778483390808,1,0.9629629629629628,0.0,0.0159066358024691
135,69,0.2709068953990936,1,0.9629629629629628,0.0,0.0197111304012345
140,54,0.4831369519233703,1,0.9629629629629628,0.0,0.0210898919753086
161,58,0.2884136140346527,1,0.9626514274691358,4.147376543209877e-05,0.0267327353395061
162,63,0.3812484741210937,1,0.9626789158950616,4.8225308641975306e-05,0.0269839891975308
172,70,0.1122240200638771,1,0.962554976851852,0.000186149691358,0.0254470486111111
177,58,0.0025982721708714,1,0.9626832561728396,0.0001142939814814,0.0244690393518518
180,77,0.0410954169929027,1,0.9626953125,0.0001041666666666,0.0249363425925925
185,66,0.1047278046607971,1,0.962866512345679,1.3503086419753087e-05,0.0210402199074074
187,71,0.0603991225361824,1,0.9629349922839506,3.858024691358025e-06,0.0188676697530864
193,69,0.0932616889476776,1,0.962945601851852,1.736111111111111e-05,0.0135489004629629
214,67,-0.0057408679276704,1,0.9629629629629628,0.0,0.0126986882716049
218,67,-0.0015878407284617,1,0.9629629629629628,0.0,0.0141603973765432
230,64,0.0049216393381357,1,0.9629629629629628,0.0,0.0245978009259259
239,72,-0.0122478157281875,1,0.9629629629629628,0.0,0.0305015432098765
268,67,0.6815645694732666,1,0.9629629629629628,0.0,0.0363951581790123
272,67,0.8503365516662598,1,0.9629629629629628,0.0,0.032643711419753
297,53,0.1671880185604095,1,0.9629629629629628,0.0,0.027706886574074
299,68,0.2284926623106002,1,0.9629629629629628,0.0,0.0309895833333333
301,63,0.2268835455179214,1,0.9629629629629628,0.0,0.0358179012345679
333,77,-0.0891654640436172,1,0.9629629629629628,0.0,0.0264848572530864
336,69,0.2519837617874145,1,0.9629629629629628,0.0,0.0257605131172839
354,69,0.0973512381315231,1,0.9629629629629628,0.0,0.0284495563271604
358,85,0.0900734961032867,1,0.9629629629629628,0.0,0.0276432291666666
368,69,0.4891494512557983,1,0.9629629629629628,0.0,0.0188117283950617
374,68,0.2523254752159118,1,0.9629629629629628,0.0,0.0168923611111111
379,56,0.2251018732786178,1,0.9629624807098766,0.0,0.0151957947530864
385,62,0.117232471704483,1,0.9629600694444445,0.0,0.0146498842592592
396,57,0.0175715927034616,1,0.9629484953703704,0.0,0.0123432677469135
413,50,0.206752747297287,1,0.9629629629629628,0.0,0.0113334297839506
420,53,0.385534405708313,1,0.9629629629629628,0.0,0.0122222222222222
432,47,0.1510935127735138,1,0.9629629629629628,0.0,0.0092269483024691
448,54,-0.2736125588417053,1,0.9629629629629628,0.0,0.005889274691358
450,46,-0.2933414876461029,1,0.9629629629629628,0.0,0.0056857638888888
453,49,-0.1718761920928955,1,0.9629629629629628,0.0,0.0052830825617283
460,54,-0.0559392236173152,1,0.9629629629629628,0.0,0.0048398919753086
475,54,0.2392588853836059,1,0.9629629629629628,0.0,0.0049768518518518
480,64,0.4607411921024322,1,0.9629629629629628,0.0,0.0052049575617283
493,68,0.1158506423234939,1,0.9629629629629628,0.0,0.0061699459876543
497,59,-0.5160862803459167,1,0.9629629629629628,0.0,0.0050728202160493
499,53,-0.6173856258392334,1,0.9629629629629628,0.0,0.0044695216049382
515,76,-0.2581221461296081,1,0.9629629629629628,0.0,0.0051625192901234
516,62,-0.3999568819999695,1,0.9629629629629628,0.0,0.0050173611111111
523,72,-0.3125505745410919,1,0.9629629629629628,0.0,0.0040735918209876
531,62,-0.0125296600162982,1,0.96296199845679,0.0,0.0052199074074074
537,74,-0.024605955928564,1,0.9629629629629628,0.0,0.0049305555555555
544,73,0.1888776868581771,1,0.96296199845679,0.0,0.0044005594135802
547,76,0.087219126522541,1,0.9629624807098766,0.0,0.0047000385802469
550,82,0.0732712149620056,1,0.9629624807098766,0.0,0.0051355131172839
560,89,-0.0105259614065289,1,0.9629629629629628,0.0,0.0049011381172839
578,85,0.5092062950134277,1,0.9629629629629628,0.0,0.0067230902777777
602,100,0.5233513116836548,1,0.9629624807098766,0.0,0.0078496334876543
617,92,0.0027505094185471,1,0.9629219714506172,0.0,0.0092973572530864
620,88,0.0026531158946454,1,0.9629552469135804,0.0,0.0087104552469135
626,106,0.000380382000003,1,0.9629566936728396,0.0,0.010171199845679
628,95,-0.0013265599263831,1,0.9629523533950616,1.9290123456790124e-06,0.0106081211419753
631,113,0.0003123386704828,1,0.962959587191358,0.0,0.0107460455246913
638,91,0.0036210133694112,1,0.962927276234568,2.4112654320987654e-06,0.0121759259259259
640,103,0.0593642927706241,1,0.9629359567901234,9.162808641975309e-06,0.0123519483024691
645,122,0.1017613410949707,1,0.962903163580247,1.591435185185185e-05,0.0115967399691358
650,111,0.0075017372146248,1,0.9629287229938271,1.0127314814814816e-05,0.0127739197530864
