frame_index,stabilize_dx,stabilize_dy,stabilize_da
0,25.5148714122082,-7.59112939839151,0.012922313147701344
1,-32.01872010752219,-37.50453708568245,0.026801970652663206
2,4.812166055290849,-14.031207667038153,0.030128645538316193
3,-4.46168001371685,-21.548779902262385,0.03528793162196002
4,-70.27685197876906,10.250113333449967,0.015467477079947643
5,-7.2416574939660165,-9.050870575885195,0.017866779054036015
6,0.2552665625737258,1.0611504433900765,0.004921232641327609
7,6.126481449616563,7.322369460977621,0.0030338100552412236
8,7.830675239134509,2.462449137493714,0.00595239751329185
9,4.395605577105245,-2.465569679884407,0.007783273253480559
10,6.434967492299012,-1.0079101996051263,0.008693642554492079
11,6.398435664705583,1.0843847545467602,0.0035004998874502407
12,11.957733164797974,4.361249393555142,0.003623501892655158
13,14.737548944691484,4.020470380946102,0.0041810048395183414
14,-13.824404897499793,-6.597425671115718,0.0070855783912580775
15,8.614084115184939,-0.2621475806363578,0.0059607132295258596
16,9.659509502831362,1.2405995327861277,0.0014875840497401876
17,16.471262793569657,4.830592794832096,0.0025616346331612987
18,-5.893130187093131,1.2928711823365846,-0.00030407371836026393
19,7.0227437415284,5.852273953403879,-0.003832036001738261
20,-7.110327461743143,-1.922880442191504,-0.0024468738441578057
21,7.6003542894816265,5.855358742748905,-0.003357657493183797
22,-18.201694049394757,-3.1184496908731947,-0.0011709175773391076
23,5.652109876500438,7.958492195177225,-0.0074339343842511636
24,-21.336673491460264,-5.579059684506161,0.0005116803238150916
25,5.762449604245591,7.246022206499449,-0.002652923217844114
26,5.400718537268242,6.8243265285463695,-0.003382334627947328
27,0.8288781833314673,3.8121623240607967,-0.0038684440831015894
28,7.157949807368674,5.906205817628164,-0.0036900404466821786
29,10.47309635052933,8.369103099297474,-0.0045251142210440895
30,-7.0970709156483265,-0.9947683422692479,0.0017455545722304987
31,5.382767538267968,3.2134623874747588,0.0016349269412034213
32,1.5858294789430087,3.067743932369745,0.001995468694633485
33,12.387276901303808,5.600742929707607,-0.0005502273269120492
34,7.0571226087586405,-2.6461060630985913,0.0056053709241152775
35,4.153392833640789,-1.4793521351638046,0.002708117974786464
