color,percentage,frame
red,0.0,21
white,0.0,21
yellow,0.0,21
black,0.0,22
blue,0.9629629629629629,22
brown,0.046252893518518516,22
green,0.0,22
orange,0.0,22
purple,0.0,22
red,0.0,22
white,0.0,22
yellow,0.0,22
black,0.0,23
blue,0.9629629629629629,23
brown,0.04691261574074074,23
green,0.0,23
orange,0.0,23
purple,0.0,23
red,0.0,23
white,0.0,23
yellow,0.0,23
black,0.0,24
blue,0.9629629629629629,24
brown,0.04771749614197531,24
green,0.0,24
orange,0.0,24
purple,0.0,24
red,0.0,24
white,0.0,24
yellow,0.0,24
black,0.0,25
blue,0.9629629629629629,25
brown,0.046686439043209876,25
green,0.0,25
orange,0.0,25
purple,0.0,25
red,0.0,25
white,0.0,25
yellow,0.0,25
black,0.0,26
blue,0.9629629629629629,26
brown,0.048309220679012346,26
green,0.0,26
orange,0.0,26
purple,0.0,26
red,0.0,26
white,0.0,26
yellow,0.0,26
black,0.0,27
blue,0.9629629629629629,27
brown,0.04799720293209876,27
green,0.0,27
orange,0.0,27
purple,0.0,27
red,0.0,27
white,0.0,27
yellow,0.0,27
black,0.0,28
blue,0.9629629629629629,28
brown,0.049423225308641974,28
green,0.0,28
orange,0.0,28
purple,0.0,28
red,0.0,28
white,0.0,28
yellow,0.0,28
black,0.0,29
blue,0.9629629629629629,29
brown,0.04609519675925926,29
green,0.0,29
orange,0.0,29
purple,0.0,29
red,0.0,29
white,0.0,29
yellow,0.0,29
black,0.0,30
blue,0.9629629629629629,30
brown,0.04695408950617284,30
green,0.0,30
orange,0.0,30
purple,0.0,30
red,0.0,30
white,0.0,30
yellow,0.0,30
black,0.0,31
blue,0.9629629629629629,31
brown,0.04506992669753086,31
green,0.0,31
orange,0.0,31
purple,0.0,31
red,0.0,31
white,0.0,31
yellow,0.0,31
black,0.0,32
blue,0.9629629629629629,32
brown,0.04798032407407407,32
green,0.0,32
orange,0.0,32
purple,0.0,32
red,0.0,32
white,0.0,32
yellow,0.0,32
black,0.0,33
blue,0.9629629629629629,33
brown,0.04414158950617284,33
green,0.0,33
orange,0.0,33
purple,0.0,33
red,0.0,33
white,0.0,33
yellow,0.0,33
black,0.0,34
blue,0.9629629629629629,34
brown,0.04492717978395062,34
green,0.0,34
orange,0.0,34
purple,0.0,34
red,0.0,34
white,0.0,34
yellow,0.0,34
black,0.0,35
blue,0.9629629629629629,35
brown,0.03859326774691358,35
green,0.0,35
orange,0.0,35
purple,0.0,35
red,0.0,35
white,0.0,35
yellow,0.0,35
black,0.0,36
blue,0.9629629629629629,36
brown,0.038913001543209876,36
green,0.0,36
orange,0.0,36
purple,0.0,36
red,0.0,36
white,0.0,36
yellow,0.0,36
black,0.0,37
blue,0.9629629629629629,37
brown,0.033116319444444445,37
green,0.0,37
orange,0.0,37
purple,0.0,37
red,0.0,37
white,0.0,37
yellow,0.0,37
black,0.0,38
blue,0.9629629629629629,38
brown,0.03372878086419753,38
green,0.0,38
orange,0.0,38
purple,0.0,38
red,0.0,38
white,0.0,38
yellow,0.0,38
black,0.0,39
blue,0.9629629629629629,39
brown,0.033040123456790124,39
green,0.0,39
orange,0.0,39
purple,0.0,39
red,0.0,39
white,0.0,39
yellow,0.0,39
black,0.0,40
blue,0.9629629629629629,40
brown,0.03162085262345679,40
green,0.0,40
orange,0.0,40
purple,0.0,40
red,0.0,40
white,0.0,40
yellow,0.0,40
black,0.0,41
blue,0.9629629629629629,41
brown,0.030732060185185185,41
green,0.0,41
orange,0.0,41
purple,0.0,41
red,0.0,41
white,0.0,41
yellow,0.0,41
black,0.0,42
blue,0.9629629629629629,42
brown,0.024623360339506174,42
green,0.0,42
orange,0.0,42
purple,0.0,42
red,0.0,42
white,0.0,42
yellow,0.0,42
black,0.0,43
blue,0.9629629629629629,43
brown,0.022162905092592593,43
green,0.0,43
orange,0.0,43
purple,0.0,43
red,0.0,43
white,0.0,43
yellow,0.0,43
black,0.0,44
blue,0.9629629629629629,44
brown,0.019323881172839508,44
green,0.0,44
orange,0.0,44
purple,0.0,44
red,0.0,44
white,0.0,44
yellow,0.0,44
black,0.0,45
blue,0.9629629629629629,45
brown,0.017190393518518518,45
green,0.0,45
orange,0.0,45
purple,0.0,45
red,0.0,45
white,0.0,45
yellow,0.0,45
black,0.0,46
blue,0.9629629629629629,46
brown,0.017472511574074073,46
green,0.0,46
orange,0.0,46
purple,0.0,46
red,0.0,46
white,0.0,46
yellow,0.0,46
black,0.0,47
blue,0.9629629629629629,47
brown,0.017258391203703705,47
green,0.0,47
orange,0.0,47
purple,0.0,47
red,0.0,47
white,0.0,47
yellow,0.0,47
black,0.0,48
blue,0.9629629629629629,48
brown,0.019444444444444445,48
green,0.0,48
orange,0.0,48
purple,0.0,48
red,0.0,48
white,0.0,48
yellow,0.0,48
black,0.0,49
blue,0.9629629629629629,49
brown,0.019266010802469136,49
green,0.0,49
orange,0.0,49
purple,0.0,49
red,0.0,49
white,0.0,49
yellow,0.0,49
black,0.0,50
blue,0.9629629629629629,50
brown,0.02029224537037037,50
green,0.0,50
orange,0.0,50
purple,0.0,50
red,0.0,50
white,0.0,50
yellow,0.0,50
black,0.0,51
blue,0.9629629629629629,51
brown,0.018839699074074075,51
green,0.0,51
orange,0.0,51
purple,0.0,51
red,0.0,51
white,0.0,51
yellow,0.0,51
black,0.0,52
blue,0.9629629629629629,52
brown,0.018620273919753086,52
green,0.0,52
orange,0.0,52
purple,0.0,52
red,0.0,52
white,0.0,52
yellow,0.0,52
black,0.0,53
blue,0.9629629629629629,53
brown,0.015906635802469135,53
green,0.0,53
orange,0.0,53
purple,0.0,53
red,0.0,53
white,0.0,53
yellow,0.0,53
black,0.0,54
blue,0.9629629629629629,54
brown,0.016180073302469136,54
green,0.0,54
orange,0.0,54
purple,0.0,54
red,0.0,54
white,0.0,54
yellow,0.0,54
black,0.0,55
blue,0.9629629629629629,55
brown,0.014655189043209877,55
green,0.0,55
orange,0.0,55
purple,0.0,55
red,0.0,55
white,0.0,55
yellow,0.0,55
black,0.0,56
blue,0.9629629629629629,56
brown,0.01591820987654321,56
green,0.0,56
orange,0.0,56
purple,0.0,56
red,0.0,56
white,0.0,56
yellow,0.0,56
black,0.0,57
blue,0.9629629629629629,57
brown,0.014476273148148148,57
green,0.0,57
orange,0.0,57
purple,0.0,57
red,0.0,57
white,0.0,57
yellow,0.0,57
black,0.0,58
blue,0.9629629629629629,58
brown,0.014830246913580246,58
green,0.0,58
orange,0.0,58
purple,0.0,58
red,0.0,58
white,0.0,58
yellow,0.0,58
black,0.0,59
blue,0.9629629629629629,59
brown,0.014311342592592593,59
green,0.0,59
orange,0.0,59
purple,0.0,59
red,0.0,59
white,0.0,59
yellow,0.0,59
black,0.0,60
blue,0.9629629629629629,60
brown,0.012327353395061729,60
green,0.0,60
orange,0.0,60
purple,0.0,60
red,0.0,60
white,0.0,60
yellow,0.0,60
black,0.0,61
blue,0.9629629629629629,61
brown,0.012197145061728394,61
green,0.0,61
orange,0.0,61
purple,0.0,61
red,0.0,61
white,0.0,61
yellow,0.0,61
black,0.0,62
blue,0.9629629629629629,62
brown,0.012907986111111111,62
green,0.0,62
orange,0.0,62
purple,0.0,62
red,0.0,62
white,0.0,62
yellow,0.0,62
black,0.0,63
blue,0.9629629629629629,63
brown,0.013839216820987654,63
green,0.0,63
orange,0.0,63
purple,0.0,63
red,0.0,63
white,0.0,63
yellow,0.0,63
black,0.0,64
blue,0.9629629629629629,64
brown,0.0140210262345679,64
green,0.0,64
orange,0.0,64
purple,0.0,64
red,0.0,64
white,0.0,64
yellow,0.0,64
black,0.0,65
blue,0.9629629629629629,65
brown,0.014331114969135802,65
green,0.0,65
orange,0.0,65
purple,0.0,65
red,0.0,65
white,0.0,65
yellow,0.0,65
black,0.0,66
blue,0.9629629629629629,66
brown,0.015347704475308642,66
green,0.0,66
orange,0.0,66
purple,0.0,66
red,0.0,66
white,0.0,66
yellow,0.0,66
black,0.0,67
blue,0.9629629629629629,67
brown,0.015906153549382716,67
green,0.0,67
orange,0.0,67
purple,0.0,67
red,0.0,67
white,0.0,67
yellow,0.0,67
black,0.0,68
blue,0.9629629629629629,68
brown,0.01666136188271605,68
green,0.0,68
orange,0.0,68
purple,0.0,68
red,0.0,68
white,0.0,68
yellow,0.0,68
black,0.0,69
blue,0.9629629629629629,69
brown,0.0170751350308642,69
green,0.0,69
orange,0.0,69
purple,0.0,69
red,0.0,69
white,0.0,69
yellow,0.0,69
black,0.0,70
blue,0.9629629629629629,70
brown,0.018348283179012347,70
green,0.0,70
orange,0.0,70
purple,0.0,70
red,0.0,70
white,0.0,70
yellow,0.0,70
black,0.0,71
blue,0.9629629629629629,71
brown,0.019115547839506173,71
green,0.0,71
orange,0.0,71
purple,0.0,71
red,0.0,71
white,0.0,71
yellow,0.0,71
black,0.0,72
blue,0.9629629629629629,72
brown,0.020920138888888887,72
green,0.0,72
orange,0.0,72
purple,0.0,72
red,0.0,72
white,0.0,72
yellow,0.0,72
black,0.0,73
blue,0.9629629629629629,73
brown,0.021748649691358025,73
green,0.0,73
orange,0.0,73
purple,0.0,73
red,0.0,73
white,0.0,73
yellow,0.0,73
black,0.0,74
blue,0.9629629629629629,74
brown,0.022690972222222223,74
green,0.0,74
orange,0.0,74
purple,0.0,74
red,0.0,74
white,0.0,74
yellow,0.0,74
black,0.0,75
blue,0.9629629629629629,75
brown,0.02107783564814815,75
green,0.0,75
orange,0.0,75
purple,0.0,75
red,0.0,75
white,0.0,75
yellow,0.0,75
black,0.0,76
blue,0.9629629629629629,76
brown,0.020707947530864197,76
green,0.0,76
orange,0.0,76
purple,0.0,76
red,0.0,76
white,0.0,76
yellow,0.0,76
black,0.0,77
blue,0.9629629629629629,77
brown,0.01988329475308642,77
green,0.0,77
orange,0.0,77
purple,0.0,77
red,0.0,77
white,0.0,77
yellow,0.0,77
black,0.0,78
blue,0.9629629629629629,78
brown,0.020571952160493828,78
green,0.0,78
orange,0.0,78
purple,0.0,78
red,0.0,78
white,0.0,78
yellow,0.0,78
black,0.0,79
blue,0.9629629629629629,79
brown,0.019904996141975308,79
green,0.0,79
orange,0.0,79
purple,0.0,79
red,0.0,79
white,0.0,79
yellow,0.0,79
black,0.0,80
blue,0.9629629629629629,80
brown,0.019911747685185187,80
green,0.0,80
orange,0.0,80
purple,0.0,80
red,0.0,80
white,0.0,80
yellow,0.0,80
black,0.0,81
blue,0.9629629629629629,81
brown,0.02001880787037037,81
green,0.0,81
orange,0.0,81
purple,0.0,81
red,0.0,81
white,0.0,81
yellow,0.0,81
black,0.0,82
blue,0.9629629629629629,82
brown,0.019877025462962963,82
green,0.0,82
orange,0.0,82
purple,0.0,82
red,0.0,82
white,0.0,82
yellow,0.0,82
black,0.0,83
blue,0.9629629629629629,83
brown,0.019714988425925926,83
green,0.0,83
orange,0.0,83
purple,0.0,83
red,0.0,83
white,0.0,83
yellow,0.0,83
black,0.0,84
blue,0.9629629629629629,84
brown,0.018250385802469137,84
green,0.0,84
orange,0.0,84
purple,0.0,84
red,0.0,84
white,0.0,84
yellow,0.0,84
black,0.0,85
blue,0.9629629629629629,85
brown,0.01620466820987654,85
green,0.0,85
orange,0.0,85
purple,0.0,85
red,0.0,85
white,0.0,85
yellow,0.0,85
black,0.0,86
blue,0.9629629629629629,86
brown,0.015342399691358024,86
green,0.0,86
orange,0.0,86
purple,0.0,86
red,0.0,86
white,0.0,86
yellow,0.0,86
black,0.0,87
blue,0.9629629629629629,87
brown,0.015014949845679013,87
green,0.0,87
orange,0.0,87
purple,0.0,87
red,0.0,87
white,0.0,87
yellow,0.0,87
black,0.0,88
blue,0.9629629629629629,88
brown,0.014284818672839506,88
green,0.0,88
orange,0.0,88
purple,0.0,88
red,0.0,88
white,0.0,88
yellow,0.0,88
black,0.0,89
blue,0.9629629629629629,89
brown,0.012244405864197531,89
green,0.0,89
orange,0.0,89
purple,0.0,89
red,0.0,89
white,0.0,89
yellow,0.0,89
black,0.0,90
blue,0.9629629629629629,90
brown,0.010181809413580246,90
green,0.0,90
orange,0.0,90
purple,0.0,90
red,0.0,90
white,0.0,90
yellow,0.0,90
black,0.0,91
blue,0.9629629629629629,91
brown,0.008683449074074074,91
green,0.0,91
orange,0.0,91
purple,0.0,91
red,0.0,91
white,0.0,91
yellow,0.0,91
black,0.0,92
blue,0.9629629629629629,92
brown,0.00755979938271605,92
green,0.0,92
orange,0.0,92
purple,0.0,92
red,0.0,92
white,0.0,92
yellow,0.0,92
black,0.0,93
blue,0.9629629629629629,93
brown,0.006479070216049382,93
green,0.0,93
orange,0.0,93
purple,0.0,93
red,0.0,93
white,0.0,93
yellow,0.0,93
black,0.0,94
blue,0.9629629629629629,94
brown,0.006267361111111111,94
green,0.0,94
orange,0.0,94
purple,0.0,94
red,0.0,94
white,0.0,94
yellow,0.0,94
black,0.0,95
blue,0.9629629629629629,95
brown,0.005776909722222222,95
green,0.0,95
orange,0.0,95
purple,0.0,95
red,0.0,95
white,0.0,95
yellow,0.0,95
black,0.0,96
blue,0.9629629629629629,96
brown,0.005705054012345679,96
green,0.0,96
orange,0.0,96
purple,0.0,96
red,0.0,96
white,0.0,96
yellow,0.0,96
black,0.0,97
blue,0.9629629629629629,97
brown,0.005537712191358025,97
green,0.0,97
orange,0.0,97
purple,0.0,97
red,0.0,97
white,0.0,97
yellow,0.0,97
black,0.0,98
blue,0.9629629629629629,98
brown,0.005714216820987654,98
green,0.0,98
orange,0.0,98
purple,0.0,98
red,0.0,98
white,0.0,98
yellow,0.0,98
black,0.0,99
blue,0.9629629629629629,99
brown,0.005341917438271605,99
green,0.0,99
orange,0.0,99
purple,0.0,99
red,0.0,99
white,0.0,99
yellow,0.0,99
black,0.0,100
blue,0.9629629629629629,100
brown,0.005140335648148148,100
green,0.0,100
orange,0.0,100
purple,0.0,100
red,0.0,100
white,0.0,100
yellow,0.0,100
black,0.0,101
blue,0.9629629629629629,101
brown,0.00527295524691358,101
green,0.0,101
orange,0.0,101
purple,0.0,101
red,0.0,101
white,0.0,101
yellow,0.0,101
black,0.0,102
blue,0.9629629629629629,102
brown,0.005740740740740741,102
green,0.0,102
orange,0.0,102
purple,0.0,102
red,0.0,102
white,0.0,102
yellow,0.0,102
black,0.0,103
blue,0.9629629629629629,103
brown,0.006136670524691358,103
green,0.0,103
orange,0.0,103
purple,0.0,103
red,0.0,103
white,0.0,103
yellow,0.0,103
black,0.0,104
blue,0.9629629629629629,104
brown,0.0065012538580246915,104
green,0.0,104
orange,0.0,104
purple,0.0,104
red,0.0,104
white,0.0,104
yellow,0.0,104
black,0.0,105
blue,0.9629629629629629,105
brown,0.007373649691358025,105
green,0.0,105
orange,0.0,105
purple,0.0,105
red,0.0,105
white,0.0,105
yellow,0.0,105
black,0.0,106
blue,0.9629629629629629,106
brown,0.008190586419753086,106
green,0.0,106
orange,0.0,106
purple,0.0,106
red,0.0,106
white,0.0,106
yellow,0.0,106
black,0.0,107
blue,0.9629629629629629,107
brown,0.008968460648148149,107
green,0.0,107
orange,0.0,107
purple,0.0,107
red,0.0,107
white,0.0,107
yellow,0.0,107
black,0.0,108
blue,0.9629629629629629,108
brown,0.009984085648148148,108
green,0.0,108
orange,0.0,108
purple,0.0,108
red,0.0,108
white,0.0,108
yellow,0.0,108
black,0.0,109
blue,0.9629629629629629,109
brown,0.01029176311728395,109
green,0.0,109
orange,0.0,109
purple,0.0,109
red,0.0,109
white,0.0,109
yellow,0.0,109
black,0.0,110
blue,0.9629629629629629,110
brown,0.011074942129629629,110
green,0.0,110
orange,0.0,110
purple,0.0,110
red,0.0,110
white,0.0,110
yellow,0.0,110
black,0.0,111
blue,0.9629629629629629,111
brown,0.011098572530864197,111
green,0.0,111
orange,0.0,111
purple,0.0,111
red,0.0,111
white,0.0,111
yellow,0.0,111
black,0.0,112
blue,0.9629629629629629,112
brown,0.011687403549382715,112
green,0.0,112
orange,0.0,112
purple,0.0,112
red,0.0,112
white,0.0,112
yellow,0.0,112
black,0.0,113
blue,0.9629629629629629,113
brown,0.012182195216049383,113
green,0.0,113
orange,0.0,113
purple,0.0,113
red,0.0,113
white,0.0,113
yellow,0.0,113
black,0.0,114
blue,0.9629629629629629,114
brown,0.01294704861111111,114
green,0.0,114
orange,0.0,114
purple,0.0,114
red,0.0,114
white,0.0,114
yellow,0.0,114
black,0.0,115
blue,0.9629629629629629,115
brown,0.013676697530864198,115
green,0.0,115
orange,0.0,115
purple,0.0,115
red,0.0,115
white,0.0,115
yellow,0.0,115
black,0.0,116
blue,0.9629629629629629,116
brown,0.014398148148148148,116
green,0.0,116
orange,0.0,116
purple,0.0,116
red,0.0,116
white,0.0,116
yellow,0.0,116
black,0.0,117
blue,0.9629629629629629,117
brown,0.014910783179012345,117
green,0.0,117
orange,0.0,117
purple,0.0,117
red,0.0,117
white,0.0,117
yellow,0.0,117
black,0.0,118
blue,0.9629629629629629,118
brown,0.015594618055555556,118
green,0.0,118
orange,0.0,118
purple,0.0,118
red,0.0,118
white,0.0,118
yellow,0.0,118
black,0.0,119
blue,0.9629629629629629,119
brown,0.01621238425925926,119
green,0.0,119
orange,0.0,119
purple,0.0,119
red,0.0,119
white,0.0,119
yellow,0.0,119
black,0.0,120
blue,0.9629629629629629,120
brown,0.016962770061728395,120
green,0.0,120
orange,0.0,120
purple,0.0,120
red,0.0,120
white,0.0,120
yellow,0.0,120
black,0.0,121
blue,0.9629629629629629,121
brown,0.018739390432098765,121
green,0.0,121
orange,0.0,121
purple,0.0,121
red,0.0,121
white,0.0,121
yellow,0.0,121
black,0.0,122
blue,0.9629629629629629,122
brown,0.020443672839506172,122
green,0.0,122
orange,0.0,122
purple,0.0,122
red,0.0,122
white,0.0,122
yellow,0.0,122
black,0.0,123
blue,0.9629629629629629,123
brown,0.022119020061728396,123
green,0.0,123
orange,0.0,123
purple,0.0,123
red,0.0,123
white,0.0,123
yellow,0.0,123
black,0.0,124
blue,0.9629629629629629,124
brown,0.022839506172839506,124
green,0.0,124
orange,0.0,124
purple,0.0,124
red,0.0,124
white,0.0,124
yellow,0.0,124
black,0.0,125
blue,0.9629629629629629,125
brown,0.022768614969135802,125
green,0.0,125
orange,0.0,125
purple,0.0,125
red,0.0,125
white,0.0,125
yellow,0.0,125
black,0.0,126
blue,0.9629629629629629,126
brown,0.023274016203703705,126
green,0.0,126
orange,0.0,126
purple,0.0,126
red,0.0,126
white,0.0,126
yellow,0.0,126
black,0.0,127
blue,0.9629629629629629,127
brown,0.023117283950617285,127
green,0.0,127
orange,0.0,127
purple,0.0,127
red,0.0,127
white,0.0,127
yellow,0.0,127
black,0.0,128
blue,0.9629629629629629,128
brown,0.023524305555555555,128
green,0.0,128
orange,0.0,128
purple,0.0,128
red,0.0,128
white,0.0,128
yellow,0.0,128
black,0.0,129
blue,0.9629629629629629,129
brown,0.022668306327160492,129
green,0.0,129
orange,0.0,129
purple,0.0,129
red,0.0,129
white,0.0,129
yellow,0.0,129
black,0.0,130
blue,0.9629629629629629,130
brown,0.021513310185185184,130
green,0.0,130
orange,0.0,130
purple,0.0,130
red,0.0,130
white,0.0,130
yellow,0.0,130
black,0.0,131
blue,0.9629629629629629,131
brown,0.020192901234567903,131
green,0.0,131
orange,0.0,131
purple,0.0,131
red,0.0,131
white,0.0,131
yellow,0.0,131
black,0.0,132
blue,0.9629629629629629,132
brown,0.019821566358024692,132
green,0.0,132
orange,0.0,132
purple,0.0,132
red,0.0,132
white,0.0,132
yellow,0.0,132
black,0.0,133
blue,0.9629629629629629,133
brown,0.019431905864197532,133
green,0.0,133
orange,0.0,133
purple,0.0,133
red,0.0,133
white,0.0,133
yellow,0.0,133
black,0.0,134
blue,0.9629629629629629,134
brown,0.01947241512345679,134
green,0.0,134
orange,0.0,134
purple,0.0,134
red,0.0,134
white,0.0,134
yellow,0.0,134
black,0.0,135
blue,0.9629629629629629,135
brown,0.019711130401234567,135
green,0.0,135
orange,0.0,135
purple,0.0,135
red,0.0,135
white,0.0,135
yellow,0.0,135
black,0.0,136
blue,0.9629629629629629,136
brown,0.020420524691358025,136
green,0.0,136
orange,0.0,136
purple,0.0,136
red,0.0,136
white,0.0,136
yellow,0.0,136
black,0.0,137
blue,0.9629629629629629,137
brown,0.02011911651234568,137
green,0.0,137
orange,0.0,137
purple,0.0,137
red,0.0,137
white,0.0,137
yellow,0.0,137
black,0.0,138
blue,0.9629571759259259,138
brown,0.020358314043209876,138
green,0.0,138
orange,0.0,138
purple,0.0,138
red,0.0,138
white,0.0,138
yellow,0.0,138
black,0.0,139
blue,0.9629591049382716,139
brown,0.020057388117283952,139
green,0.0,139
orange,0.0,139
purple,0.0,139
red,0.0,139
white,0.0,139
yellow,0.0,139
black,0.0,140
blue,0.9629629629629629,140
brown,0.021089891975308642,140
green,0.0,140
orange,0.0,140
purple,0.0,140
red,0.0,140
white,0.0,140
yellow,0.0,140
black,0.0,141
blue,0.9629619984567901,141
brown,0.022192322530864197,141
green,0.0,141
orange,0.0,141
purple,0.0,141
red,0.0,141
white,0.0,141
yellow,0.0,141
black,0.0,142
blue,0.962953800154321,142
brown,0.023428337191358024,142
green,0.0,142
orange,0.0,142
purple,0.0,142
red,0.0,142
white,0.0,142
yellow,0.0,142
black,0.0,143
blue,0.9629562114197531,143
brown,0.024364872685185186,143
green,0.0,143
orange,0.0,143
purple,0.0,143
red,0.0,143
white,0.0,143
yellow,0.0,143
black,0.0,144
blue,0.9629123263888889,144
brown,0.02572386188271605,144
green,0.0,144
orange,0.0,144
purple,0.0,144
red,0.0,144
white,0.0,144
yellow,0.0,144
black,0.0,145
blue,0.9628380594135802,145
brown,0.02660252700617284,145
green,0.0,145
orange,0.0,145
purple,0.0,145
red,0.0,145
white,0.0,145
yellow,0.0,145
black,0.0,146
blue,0.9628231095679012,146
brown,0.02732349537037037,146
green,0.0,146
orange,0.0,146
purple,0.0,146
red,0.0,146
white,0.0,146
yellow,0.0,146
black,0.0,147
blue,0.9628009259259259,147
brown,0.026649787808641974,147
green,0.0,147
orange,0.0,147
purple,0.0,147
red,0.0,147
white,0.0,147
yellow,0.0,147
black,0.0,148
blue,0.9627517361111111,148
brown,0.0265625,148
green,0.0,148
orange,0.0,148
purple,0.0,148
red,0.0,148
white,0.0,148
yellow,0.0,148
black,0.0,149
blue,0.9626982060185185,149
brown,0.026466531635802468,149
green,0.0,149
orange,0.0,149
purple,0.0,149
red,0.0,149
white,0.0,149
yellow,0.0,149
black,0.0,150
blue,0.9626490162037037,150
brown,0.026962287808641974,150
green,3.375771604938272e-06,150
orange,0.0,150
purple,0.0,150
red,0.0,150
white,0.0,150
yellow,0.0,150
black,0.0,151
blue,0.9626538387345679,151
brown,0.026942515432098767,151
green,6.751543209876544e-06,151
orange,0.0,151
purple,0.0,151
red,0.0,151
white,0.0,151
yellow,0.0,151
black,0.0,152
blue,0.9626437114197531,152
brown,0.02703125,152
green,9.645061728395062e-07,152
orange,0.0,152
purple,0.0,152
red,0.0,152
white,0.0,152
yellow,0.0,152
black,0.0,153
blue,0.9626292438271605,153
brown,0.027067418981481482,153
green,4.822530864197531e-06,153
orange,0.0,153
purple,0.0,153
red,0.0,153
white,0.0,153
yellow,0.0,153
black,7.71604938271605e-06,154
blue,0.9627064043209876,154
brown,0.027241512345679012,154
green,5.304783950617284e-06,154
orange,0.0,154
purple,0.0,154
red,0.0,154
white,0.0,154
yellow,0.0,154
black,7.71604938271605e-06,155
blue,0.9627517361111111,155
brown,0.026640625,155
green,4.822530864197531e-07,155
orange,0.0,155
purple,0.0,155
red,0.0,155
white,0.0,155
yellow,0.0,155
black,0.0,156
blue,0.9626567322530865,156
brown,0.026670524691358024,156
green,1.3503086419753087e-05,156
orange,0.0,156
purple,0.0,156
red,0.0,156
white,0.0,156
yellow,0.0,156
black,0.0,157
blue,0.9627613811728395,157
brown,0.026299189814814813,157
green,3.375771604938272e-06,157
orange,0.0,157
purple,0.0,157
red,0.0,157
white,0.0,157
yellow,0.0,157
black,0.0,158
blue,0.9626721643518519,158
brown,0.026687885802469134,158
green,2.652391975308642e-05,158
orange,0.0,158
purple,0.0,158
red,0.0,158
white,0.0,158
yellow,0.0,158
